color,compound,lap_number,wear_pattern,sidewall_deformation,tyre_pressure,is_graining,tyre_temperature,track_temperature,strategy,expected_life,lap_percentage,temp_differential,is_pressure_optimal,is_temp_optimal,wear_severity,risk_score
red,soft,1,inner,False,19.2,True,33,32,CONSERVE,22,0.045454545454545456,1,True,False,2,41.81818181818182
red,soft,14,center,False,21.5,True,40,28,MONITOR,22,0.6363636363636364,12,True,False,3,75.45454545454545
red,soft,15,uneven,False,18.5,True,33,26,MONITOR,22,0.6818181818181818,7,False,False,4,97.27272727272727
yellow,medium,12,outer,True,20.5,True,25,22,PIT_NOW,32,0.375,3,True,False,2,105.0
red,soft,3,center,False,21.3,True,39,32,CONSERVE,22,0.13636363636363635,7,True,False,3,55.45454545454545
red,soft,5,outer,False,20.6,True,48,38,CONSERVE,22,0.22727272727272727,10,True,False,2,49.09090909090909
red,soft,2,outer,False,19.8,True,40,40,CONSERVE,22,0.09090909090909091,0,True,False,2,43.63636363636364
yellow,medium,20,even,False,19.6,False,27,20,MONITOR,32,0.625,7,True,False,0,30.0
yellow,medium,21,inner,False,18.7,True,39,29,MONITOR,32,0.65625,10,False,False,2,76.25
yellow,medium,36,inner,True,21.0,True,56,41,PIT_NOW,32,1.125,15,True,False,2,135.0
red,soft,5,even,False,20.0,True,39,22,CONSERVE,22,0.22727272727272727,17,True,False,0,29.09090909090909
yellow,medium,11,even,False,21.4,False,55,38,MONITOR,32,0.34375,17,True,False,0,18.75
red,soft,2,inner,False,18.3,True,34,24,CONSERVE,22,0.09090909090909091,10,False,False,2,53.63636363636364
yellow,medium,18,outer,False,21.2,False,27,20,MONITOR,32,0.5625,7,True,False,2,47.5
red,soft,5,even,False,21.1,True,42,37,CONSERVE,22,0.22727272727272727,5,True,False,0,29.09090909090909
yellow,medium,23,uneven,False,19.2,True,50,36,CONSERVE,32,0.71875,14,True,False,4,88.75
white,hard,11,even,False,21.0,True,56,44,CONSERVE,45,0.24444444444444444,12,True,False,0,29.77777777777778
red,soft,11,even,False,19.9,True,40,34,CONSERVE,22,0.5,6,True,False,0,40.0
yellow,medium,9,even,False,22.6,False,47,36,MONITOR,32,0.28125,11,False,False,0,26.25
white,hard,43,center,False,22.6,True,43,20,PIT_SOON,45,0.9555555555555556,23,False,False,3,98.22222222222223
yellow,medium,9,even,False,19.6,True,40,29,CONSERVE,32,0.28125,11,True,False,0,31.25
white,hard,40,outer,False,20.7,True,51,37,PIT_SOON,45,0.8888888888888888,14,True,False,2,75.55555555555556
yellow,medium,32,center,False,19.8,True,64,41,PIT_NOW,32,1.0,23,True,False,3,90.0
yellow,medium,34,outer,True,20.5,False,67,40,PIT_NOW,32,1.0625,27,True,False,2,117.5
yellow,medium,20,outer,False,19.5,True,53,37,MONITOR,32,0.625,16,True,False,2,65.0
red,soft,2,even,False,19.7,True,34,34,CONSERVE,22,0.09090909090909091,0,True,False,0,23.636363636363637
white,hard,25,even,False,18.3,False,28,20,MONITOR,45,0.5555555555555556,8,False,False,0,37.22222222222222
yellow,medium,16,even,False,17.9,False,47,39,MONITOR,32,0.5,8,False,False,0,35.0
red,soft,10,inner,False,21.0,True,46,33,CONSERVE,22,0.45454545454545453,13,True,False,2,58.18181818181818
white,hard,14,even,False,17.3,False,46,39,MONITOR,45,0.3111111111111111,7,False,False,0,27.444444444444443
red,soft,25,inner,False,18.1,True,59,40,PIT_NOW,22,1.1363636363636365,19,False,False,2,95.45454545454547
white,hard,23,outer,False,21.6,True,46,37,MONITOR,45,0.5111111111111111,9,False,False,2,70.44444444444444
yellow,medium,15,uneven,True,20.7,False,41,35,PIT_NOW,32,0.46875,6,True,False,4,113.75
red,soft,1,inner,False,21.4,True,11,16,CONSERVE,22,0.045454545454545456,-5,True,False,2,41.81818181818182
red,soft,10,even,False,19.6,True,31,22,CONSERVE,22,0.45454545454545453,9,True,False,0,38.18181818181818
red,soft,8,outer,False,20.4,True,41,35,CONSERVE,22,0.36363636363636365,6,True,False,2,54.54545454545455
white,hard,22,even,False,19.1,True,49,41,CONSERVE,45,0.4888888888888889,8,True,False,0,39.55555555555556
white,hard,2,inner,False,19.9,True,44,34,CONSERVE,45,0.044444444444444446,10,True,False,2,41.77777777777778
yellow,medium,14,even,False,22.6,True,46,33,MONITOR,32,0.4375,13,False,False,0,47.5
yellow,medium,12,uneven,False,19.8,True,22,21,MONITOR,32,0.375,1,True,False,4,75.0
red,soft,2,outer,False,20.1,True,30,27,CONSERVE,22,0.09090909090909091,3,True,False,2,43.63636363636364
red,soft,7,inner,False,21.5,True,52,37,CONSERVE,22,0.3181818181818182,15,True,False,2,52.72727272727273
yellow,medium,13,uneven,False,21.2,True,39,24,MONITOR,32,0.40625,15,True,False,4,76.25
green,intermediate,6,uneven,False,19.5,True,33,21,CONSERVE,15,0.4,12,True,False,4,76.0
red,soft,14,uneven,False,21.2,True,48,38,MONITOR,22,0.6363636363636364,10,True,False,4,85.45454545454545
red,soft,4,outer,False,19.6,True,27,28,CONSERVE,22,0.18181818181818182,-1,True,False,2,47.27272727272727
red,soft,9,uneven,False,20.3,True,58,43,CONSERVE,22,0.4090909090909091,15,True,False,4,76.36363636363636
red,soft,4,even,False,21.6,True,28,19,CONSERVE,22,0.18181818181818182,9,False,False,0,37.27272727272727
green,intermediate,5,inner,False,20.0,True,23,17,CONSERVE,15,0.3333333333333333,6,True,False,2,53.33333333333333
yellow,medium,30,uneven,False,18.5,True,36,22,PIT_NOW,32,0.9375,14,False,False,4,107.5
green,intermediate,10,even,False,16.9,True,26,11,PIT_NOW,15,0.6666666666666666,15,False,False,0,56.666666666666664
red,soft,18,outer,False,22.5,True,47,29,PIT_SOON,22,0.8181818181818182,18,False,False,2,82.72727272727272
red,soft,8,inner,False,21.4,True,35,22,CONSERVE,22,0.36363636363636365,13,True,False,2,54.54545454545455
yellow,medium,4,inner,False,18.0,False,31,32,MONITOR,32,0.125,-1,False,False,2,40.0
yellow,medium,4,even,False,21.0,True,44,36,CONSERVE,32,0.125,8,True,False,0,25.0
red,soft,6,inner,False,20.9,True,52,41,CONSERVE,22,0.2727272727272727,11,True,False,2,50.90909090909091
red,soft,1,even,False,19.8,True,52,42,CONSERVE,22,0.045454545454545456,10,True,False,0,21.81818181818182
yellow,medium,22,outer,True,20.5,True,46,33,PIT_NOW,32,0.6875,13,True,False,2,117.5
yellow,medium,18,even,False,22.5,False,45,42,CONSERVE,32,0.5625,3,False,False,0,37.5
red,soft,10,even,False,19.8,True,39,35,CONSERVE,22,0.45454545454545453,4,True,False,0,38.18181818181818
red,soft,12,even,False,20.7,True,40,21,MONITOR,22,0.5454545454545454,19,True,False,0,41.81818181818181
white,hard,9,inner,False,21.7,True,35,27,CONSERVE,45,0.2,8,False,False,2,58.0
red,soft,19,outer,False,21.1,True,56,38,PIT_SOON,22,0.8636363636363636,18,True,False,2,74.54545454545455
yellow,medium,1,even,False,19.7,False,41,29,MONITOR,32,0.03125,12,True,False,0,6.25
yellow,medium,12,even,False,19.9,False,60,44,CONSERVE,32,0.375,16,True,False,0,20.0
yellow,medium,9,even,False,23.0,False,37,21,MONITOR,32,0.28125,16,False,False,0,26.25
red,soft,12,outer,False,19.7,True,56,39,MONITOR,22,0.5454545454545454,17,True,False,2,61.81818181818181
blue,wet,1,outer,False,19.2,False,27,24,MONITOR,10,0.1,3,True,False,2,29.0
yellow,medium,10,outer,False,21.0,False,33,22,MONITOR,32,0.3125,11,True,False,2,37.5
yellow,medium,20,outer,False,18.9,True,47,33,MONITOR,32,0.625,14,False,False,2,75.0
white,hard,2,outer,False,17.9,False,46,38,MONITOR,45,0.044444444444444446,8,False,False,2,36.77777777777778
red,soft,1,even,False,21.4,True,32,28,CONSERVE,22,0.045454545454545456,4,True,False,0,21.81818181818182
red,soft,7,inner,False,21.5,True,43,32,CONSERVE,22,0.3181818181818182,11,True,False,2,52.72727272727273
yellow,medium,28,inner,False,20.0,True,46,23,PIT_SOON,32,0.875,23,True,False,2,75.0
yellow,medium,15,uneven,False,18.1,False,36,28,MONITOR,32,0.46875,8,False,False,4,73.75
red,soft,3,even,False,19.3,True,25,23,CONSERVE,22,0.13636363636363635,2,True,False,0,25.454545454545453
yellow,medium,35,center,False,17.4,True,47,31,PIT_NOW,32,1.09375,16,False,False,3,103.75
red,soft,6,even,False,19.3,True,26,24,CONSERVE,22,0.2727272727272727,2,True,False,0,30.909090909090907
yellow,medium,10,even,False,21.4,True,39,32,CONSERVE,32,0.3125,7,True,False,0,32.5
red,soft,2,inner,False,20.8,True,45,41,CONSERVE,22,0.09090909090909091,4,True,False,2,43.63636363636364
red,soft,14,outer,False,20.6,True,29,24,MONITOR,22,0.6363636363636364,5,True,False,2,65.45454545454545
red,soft,8,outer,False,20.5,True,38,31,CONSERVE,22,0.36363636363636365,7,True,False,2,54.54545454545455
red,soft,11,even,False,20.3,True,28,22,CONSERVE,22,0.5,6,True,False,0,40.0
red,soft,20,outer,False,18.6,True,36,26,PIT_SOON,22,0.9090909090909091,10,False,False,2,86.36363636363636
white,hard,4,even,False,20.5,True,35,28,CONSERVE,45,0.08888888888888889,7,True,False,0,23.555555555555557
yellow,medium,3,even,False,19.0,True,41,33,CONSERVE,32,0.09375,8,True,False,0,23.75
red,soft,4,inner,False,21.5,True,27,20,CONSERVE,22,0.18181818181818182,7,True,False,2,47.27272727272727
green,intermediate,5,even,False,17.5,True,15,13,CONSERVE,15,0.3333333333333333,2,False,False,0,43.33333333333333
green,intermediate,3,inner,False,18.2,True,24,14,CONSERVE,15,0.2,10,False,False,2,58.0
yellow,medium,11,even,False,22.5,False,49,44,CONSERVE,32,0.34375,5,False,False,0,28.75
red,soft,15,uneven,False,21.1,True,34,26,MONITOR,22,0.6818181818181818,8,True,False,4,87.27272727272727
yellow,medium,17,even,False,19.6,True,35,26,MONITOR,32,0.53125,9,True,False,0,41.25
red,soft,7,uneven,False,20.2,True,25,18,CONSERVE,22,0.3181818181818182,7,True,False,4,72.72727272727272
yellow,medium,5,center,False,18.7,False,32,32,MONITOR,32,0.15625,0,False,False,3,51.25
yellow,medium,2,even,False,20.2,True,35,29,CONSERVE,32,0.0625,6,True,False,0,22.5
white,hard,32,outer,False,20.7,True,50,34,CONSERVE,45,0.7111111111111111,16,True,False,2,68.44444444444444
yellow,medium,25,outer,False,20.4,True,58,44,PIT_SOON,32,0.78125,14,True,False,2,71.25
red,soft,7,inner,False,20.6,True,52,38,CONSERVE,22,0.3181818181818182,14,True,False,2,52.72727272727273
yellow,medium,12,inner,False,20.7,True,33,24,MONITOR,32,0.375,9,True,False,2,55.0
yellow,medium,11,even,False,19.7,False,53,41,CONSERVE,32,0.34375,12,True,False,0,18.75
yellow,medium,13,center,False,20.8,True,39,27,MONITOR,32,0.40625,12,True,False,3,66.25
red,soft,7,outer,False,21.0,True,48,33,CONSERVE,22,0.3181818181818182,15,True,False,2,52.72727272727273
yellow,medium,19,even,False,20.7,False,37,28,MONITOR,32,0.59375,9,True,False,0,28.75
red,soft,18,even,False,19.7,True,49,39,PIT_SOON,22,0.8181818181818182,10,True,False,0,52.72727272727273
red,soft,7,even,False,19.6,True,38,26,CONSERVE,22,0.3181818181818182,12,True,False,0,32.72727272727273
yellow,medium,35,inner,True,18.6,True,41,23,PIT_NOW,32,1.09375,18,False,False,2,143.75
red,soft,15,even,False,19.4,True,48,36,MONITOR,22,0.6818181818181818,12,True,False,0,47.272727272727266
yellow,medium,28,outer,False,20.7,True,59,42,PIT_SOON,32,0.875,17,True,False,2,75.0
white,hard,25,even,False,22.0,False,38,32,MONITOR,45,0.5555555555555556,6,False,False,0,37.22222222222222
red,soft,12,center,False,20.0,True,53,37,MONITOR,22,0.5454545454545454,16,True,False,3,71.81818181818181
red,soft,13,inner,False,20.7,True,46,30,MONITOR,22,0.5909090909090909,16,True,False,2,63.63636363636364
red,soft,3,uneven,False,22.0,True,48,44,CONSERVE,22,0.13636363636363635,4,False,False,4,75.45454545454545
white,hard,20,inner,False,20.2,False,38,34,MONITOR,45,0.4444444444444444,4,True,False,2,42.77777777777778
white,hard,1,uneven,False,20.3,True,32,28,CONSERVE,45,0.022222222222222223,4,True,False,4,60.888888888888886
yellow,medium,10,uneven,False,19.1,True,44,38,CONSERVE,32,0.3125,6,True,False,4,72.5
red,soft,4,even,True,20.3,True,40,32,PIT_NOW,22,0.18181818181818182,8,True,False,0,77.27272727272728
yellow,medium,19,even,False,20.3,True,28,20,MONITOR,32,0.59375,8,True,False,0,43.75
yellow,medium,11,outer,False,19.2,False,36,22,MONITOR,32,0.34375,14,True,False,2,38.75
yellow,medium,20,uneven,False,18.1,True,36,25,MONITOR,32,0.625,11,False,False,4,95.0
white,hard,18,center,False,19.7,True,42,34,MONITOR,45,0.4,8,True,False,3,66.0
yellow,medium,13,even,False,20.5,True,37,30,MONITOR,32,0.40625,7,True,False,0,36.25
yellow,medium,25,uneven,False,18.6,True,44,29,CONSERVE,32,0.78125,15,False,False,4,101.25
red,soft,4,even,False,19.0,True,38,37,CONSERVE,22,0.18181818181818182,1,True,False,0,27.272727272727273
green,intermediate,9,outer,False,18.8,True,19,10,CONSERVE,15,0.6,9,False,False,2,74.0
yellow,medium,29,inner,False,21.7,True,37,22,PIT_SOON,32,0.90625,15,False,False,2,86.25
yellow,medium,20,center,False,17.8,True,36,25,MONITOR,32,0.625,11,False,False,3,85.0
yellow,medium,6,even,False,21.2,True,22,20,CONSERVE,32,0.1875,2,True,False,0,27.5
white,hard,31,inner,False,19.3,False,34,28,MONITOR,45,0.6888888888888889,6,True,False,2,52.55555555555556
white,hard,24,center,False,20.6,False,39,30,MONITOR,45,0.5333333333333333,9,True,False,3,56.33333333333333
green,intermediate,11,even,False,20.7,True,34,12,CONSERVE,15,0.7333333333333333,22,True,False,0,49.33333333333333
yellow,medium,12,inner,False,19.9,True,28,20,MONITOR,32,0.375,8,True,False,2,55.0
yellow,medium,3,outer,False,18.7,True,37,27,CONSERVE,32,0.09375,10,False,False,2,53.75
yellow,medium,9,uneven,False,19.8,True,48,42,CONSERVE,32,0.28125,6,True,False,4,71.25
red,soft,12,even,False,20.9,True,42,40,MONITOR,22,0.5454545454545454,2,True,False,0,41.81818181818181
blue,wet,8,uneven,False,19.1,False,38,18,CONSERVE,10,0.8,20,True,False,4,77.0
yellow,medium,8,inner,False,20.1,True,25,20,CONSERVE,32,0.25,5,True,False,2,50.0
blue,wet,1,even,False,17.6,True,20,19,CONSERVE,10,0.1,1,False,False,0,34.0
yellow,medium,18,uneven,False,22.0,False,37,27,MONITOR,32,0.5625,10,False,False,4,77.5
yellow,medium,14,center,False,19.1,True,20,18,MONITOR,32,0.4375,2,True,False,3,67.5
red,soft,10,even,False,18.4,False,45,34,MONITOR,22,0.45454545454545453,11,False,False,0,33.18181818181818
yellow,medium,22,even,False,20.6,True,43,32,MONITOR,32,0.6875,11,True,False,0,47.5
red,soft,16,even,False,18.8,True,51,37,PIT_SOON,22,0.7272727272727273,14,False,False,0,59.09090909090909
white,hard,39,even,False,19.4,False,46,23,PIT_SOON,45,0.8666666666666667,23,True,False,0,39.66666666666667
yellow,medium,14,inner,False,20.4,False,40,27,MONITOR,32,0.4375,13,True,False,2,42.5
red,soft,10,even,False,20.2,True,44,25,CONSERVE,22,0.45454545454545453,19,True,False,0,38.18181818181818
yellow,medium,21,center,False,19.7,True,38,24,MONITOR,32,0.65625,14,True,False,3,76.25
yellow,medium,9,even,False,21.3,True,62,43,CONSERVE,32,0.28125,19,True,False,0,31.25
yellow,medium,25,outer,False,19.7,False,44,27,PIT_SOON,32,0.78125,17,True,False,2,56.25
yellow,medium,11,outer,False,19.5,False,31,21,MONITOR,32,0.34375,10,True,False,2,38.75
red,soft,9,even,False,21.6,True,44,33,CONSERVE,22,0.4090909090909091,11,False,False,0,46.36363636363636
yellow,medium,33,inner,False,20.0,True,39,25,PIT_NOW,32,1.03125,14,True,False,2,81.25
yellow,medium,21,uneven,False,20.6,False,52,39,MONITOR,32,0.65625,13,True,False,4,71.25
red,soft,6,even,False,20.4,True,42,24,CONSERVE,22,0.2727272727272727,18,True,False,0,30.909090909090907
white,hard,18,even,False,18.7,True,41,38,MONITOR,45,0.4,3,False,False,0,46.0
red,soft,6,uneven,False,20.8,True,25,25,CONSERVE,22,0.2727272727272727,0,True,False,4,70.9090909090909
red,soft,8,even,False,19.4,True,47,36,CONSERVE,22,0.36363636363636365,11,True,False,0,34.54545454545455
red,soft,8,inner,False,19.4,True,55,41,CONSERVE,22,0.36363636363636365,14,True,False,2,54.54545454545455
yellow,medium,26,inner,False,19.9,False,50,25,PIT_SOON,32,0.8125,25,True,False,2,57.5
yellow,medium,6,even,False,18.5,True,29,25,CONSERVE,32,0.1875,4,False,False,0,37.5
red,soft,25,uneven,False,19.6,True,70,42,PIT_NOW,22,1.1363636363636365,28,True,False,4,105.45454545454547
yellow,medium,21,inner,False,19.7,True,33,23,MONITOR,32,0.65625,10,True,False,2,66.25
white,hard,25,even,False,18.1,False,43,34,MONITOR,45,0.5555555555555556,9,False,False,0,37.22222222222222
yellow,medium,27,outer,False,19.9,False,69,43,PIT_SOON,32,0.84375,26,True,False,2,58.75
white,hard,16,outer,False,18.5,False,38,29,MONITOR,45,0.35555555555555557,9,False,False,2,49.22222222222222
yellow,medium,7,even,False,20.2,False,46,37,MONITOR,32,0.21875,9,True,False,0,13.75
yellow,medium,18,even,False,19.7,True,50,40,MONITOR,32,0.5625,10,True,False,0,42.5
yellow,medium,35,uneven,False,22.0,False,62,39,PIT_NOW,32,1.09375,23,False,False,4,98.75
yellow,medium,13,outer,False,20.5,False,38,25,MONITOR,32,0.40625,13,True,False,2,41.25
green,intermediate,12,even,False,19.4,False,28,10,CONSERVE,15,0.8,18,True,False,0,37.0
green,intermediate,2,uneven,False,17.4,True,30,22,CONSERVE,15,0.13333333333333333,8,False,False,4,75.33333333333334
red,soft,8,even,False,20.6,True,37,29,CONSERVE,22,0.36363636363636365,8,True,False,0,34.54545454545455
yellow,medium,21,center,False,20.9,False,35,22,MONITOR,32,0.65625,13,True,False,3,61.25
red,soft,13,outer,False,19.2,True,53,43,CONSERVE,22,0.5909090909090909,10,True,False,2,63.63636363636364
red,soft,6,outer,False,20.4,True,43,37,CONSERVE,22,0.2727272727272727,6,True,False,2,50.90909090909091
red,soft,1,center,False,19.5,True,55,41,CONSERVE,22,0.045454545454545456,14,True,False,3,51.81818181818182
white,hard,32,even,False,20.5,False,28,20,CONSERVE,45,0.7111111111111111,8,True,False,0,33.44444444444444
white,hard,26,inner,False,19.4,False,43,31,MONITOR,45,0.5777777777777777,12,True,False,2,48.11111111111111
red,soft,4,even,False,20.2,True,43,39,CONSERVE,22,0.18181818181818182,4,True,False,0,27.272727272727273
yellow,medium,20,even,False,21.4,False,37,26,MONITOR,32,0.625,11,True,False,0,30.0
yellow,medium,13,even,False,21.2,False,41,35,MONITOR,32,0.40625,6,True,False,0,21.25
red,soft,18,even,False,20.4,True,33,25,PIT_SOON,22,0.8181818181818182,8,True,False,0,52.72727272727273
yellow,medium,13,outer,False,21.8,True,54,44,CONSERVE,32,0.40625,10,False,False,2,66.25
red,soft,17,outer,False,20.8,True,54,39,PIT_SOON,22,0.7727272727272727,15,True,False,2,70.9090909090909
red,soft,13,outer,False,20.2,True,44,39,MONITOR,22,0.5909090909090909,5,True,False,2,63.63636363636364
red,soft,10,uneven,False,19.7,True,30,25,CONSERVE,22,0.45454545454545453,5,True,False,4,78.18181818181819
red,soft,16,inner,False,19.3,True,38,27,PIT_SOON,22,0.7272727272727273,11,True,False,2,69.0909090909091
red,soft,6,even,False,21.6,True,33,24,CONSERVE,22,0.2727272727272727,9,False,False,0,40.90909090909091
yellow,medium,2,center,False,20.4,True,30,32,CONSERVE,32,0.0625,-2,True,False,3,52.5
red,soft,10,even,False,19.0,True,47,35,CONSERVE,22,0.45454545454545453,12,True,False,0,38.18181818181818
white,hard,14,even,False,18.4,False,19,16,MONITOR,45,0.3111111111111111,3,False,False,0,27.444444444444443
yellow,medium,4,even,False,18.5,False,43,34,MONITOR,32,0.125,9,False,False,0,20.0
red,soft,7,even,False,19.6,True,42,35,CONSERVE,22,0.3181818181818182,7,True,False,0,32.72727272727273
yellow,medium,16,even,False,20.5,True,52,37,MONITOR,32,0.5,15,True,False,0,40.0
yellow,medium,24,inner,False,20.9,True,45,22,CONSERVE,32,0.75,23,True,False,2,70.0
yellow,medium,17,uneven,False,18.4,False,41,33,MONITOR,32,0.53125,8,False,False,4,76.25
red,soft,4,even,False,19.1,True,47,41,CONSERVE,22,0.18181818181818182,6,True,False,0,27.272727272727273
yellow,medium,24,inner,False,20.0,True,54,36,CONSERVE,32,0.75,18,True,False,2,70.0
red,soft,15,uneven,False,19.2,True,52,44,CONSERVE,22,0.6818181818181818,8,True,False,4,87.27272727272727
white,hard,2,outer,False,21.0,False,34,26,MONITOR,45,0.044444444444444446,8,True,False,2,26.77777777777778
red,soft,9,even,False,20.7,True,41,28,CONSERVE,22,0.4090909090909091,13,True,False,0,36.36363636363636
yellow,medium,17,uneven,False,22.4,False,42,30,MONITOR,32,0.53125,12,False,False,4,76.25
red,soft,9,inner,False,20.2,True,41,26,CONSERVE,22,0.4090909090909091,15,True,False,2,56.36363636363636
yellow,medium,12,outer,False,20.3,True,33,25,MONITOR,32,0.375,8,True,False,2,55.0
green,intermediate,2,outer,False,18.2,True,29,24,CONSERVE,15,0.13333333333333333,5,False,False,2,55.33333333333333
white,hard,37,center,False,18.6,True,47,31,PIT_SOON,45,0.8222222222222222,16,False,False,3,92.88888888888889
red,soft,18,inner,False,20.0,True,44,26,PIT_SOON,22,0.8181818181818182,18,True,False,2,72.72727272727272
yellow,medium,14,even,False,19.8,False,27,25,MONITOR,32,0.4375,2,True,False,0,22.5
red,soft,15,inner,False,19.6,True,38,30,MONITOR,22,0.6818181818181818,8,True,False,2,67.27272727272727
white,hard,7,outer,False,20.7,True,29,20,CONSERVE,45,0.15555555555555556,9,True,False,2,46.22222222222222
yellow,medium,24,inner,False,18.6,True,54,34,CONSERVE,32,0.75,20,False,False,2,80.0
yellow,medium,2,even,False,19.2,False,37,33,MONITOR,32,0.0625,4,True,False,0,7.5
red,soft,19,outer,False,21.6,True,40,27,PIT_SOON,22,0.8636363636363636,13,False,False,2,84.54545454545455
yellow,medium,1,even,False,20.2,True,53,43,CONSERVE,32,0.03125,10,True,False,0,21.25
red,soft,10,even,True,20.6,True,37,36,PIT_NOW,22,0.45454545454545453,1,True,False,0,88.18181818181819
red,soft,4,inner,False,20.3,True,41,36,CONSERVE,22,0.18181818181818182,5,True,False,2,47.27272727272727
white,hard,23,even,False,21.4,False,32,17,MONITOR,45,0.5111111111111111,15,True,False,0,25.444444444444443
white,hard,21,outer,False,19.9,False,49,35,MONITOR,45,0.4666666666666667,14,True,False,2,43.66666666666667
yellow,medium,19,even,False,20.4,True,44,36,MONITOR,32,0.59375,8,True,False,0,43.75
yellow,medium,2,outer,False,21.2,True,29,24,CONSERVE,32,0.0625,5,True,False,2,42.5
red,soft,11,even,False,20.5,True,39,26,CONSERVE,22,0.5,13,True,False,0,40.0
red,soft,7,even,False,20.5,True,51,36,CONSERVE,22,0.3181818181818182,15,True,False,0,32.72727272727273
yellow,medium,25,uneven,False,19.4,True,36,23,CONSERVE,32,0.78125,13,True,False,4,91.25
white,hard,11,even,False,18.7,True,33,25,CONSERVE,45,0.24444444444444444,8,False,False,0,39.77777777777778
white,hard,9,outer,False,19.9,True,33,21,CONSERVE,45,0.2,12,True,False,2,48.0
white,hard,16,outer,False,18.1,True,50,41,CONSERVE,45,0.35555555555555557,9,False,False,2,64.22222222222223
yellow,medium,12,inner,False,21.3,False,40,29,MONITOR,32,0.375,11,True,False,2,40.0
red,soft,17,inner,False,18.3,True,56,37,PIT_SOON,22,0.7727272727272727,19,False,False,2,80.9090909090909
yellow,medium,20,even,False,20.5,True,53,42,CONSERVE,32,0.625,11,True,False,0,45.0
red,soft,5,outer,False,19.3,True,23,16,CONSERVE,22,0.22727272727272727,7,True,False,2,49.09090909090909
yellow,medium,24,even,False,20.1,False,48,33,CONSERVE,32,0.75,15,True,False,0,35.0
white,hard,18,inner,False,19.0,True,31,23,MONITOR,45,0.4,8,True,False,2,56.0
red,soft,15,even,False,20.9,True,30,22,MONITOR,22,0.6818181818181818,8,True,False,0,47.272727272727266
yellow,medium,22,even,False,21.7,True,39,33,MONITOR,32,0.6875,6,False,False,0,57.5
yellow,medium,25,even,False,20.3,True,52,42,CONSERVE,32,0.78125,10,True,False,0,51.25
red,soft,17,outer,False,20.0,True,54,42,PIT_SOON,22,0.7727272727272727,12,True,False,2,70.9090909090909
red,soft,17,outer,False,20.3,True,45,30,PIT_SOON,22,0.7727272727272727,15,True,False,2,70.9090909090909
white,hard,22,uneven,False,17.8,True,39,24,MONITOR,45,0.4888888888888889,15,False,False,4,89.55555555555556
red,soft,1,uneven,False,19.5,True,42,36,CONSERVE,22,0.045454545454545456,6,True,False,4,61.81818181818182
white,hard,25,even,False,20.0,True,43,32,MONITOR,45,0.5555555555555556,11,True,False,0,42.22222222222222
yellow,medium,8,outer,False,18.1,False,41,25,MONITOR,32,0.25,16,False,False,2,45.0
yellow,medium,22,even,False,20.4,True,37,34,MONITOR,32,0.6875,3,True,False,0,47.5
